relic_name,tier,relic_price,item_bronze1,price_bronze1,item_bronze2,price_bronze2,item_bronze3,price_bronze3,item_argent1,price_argent1,item_argent2,price_argent2,item_gold1,price_gold1,ev_intact,ev_radiant
Axi A1 Relic,Axi,15.5,Trinity Prime Systems Blueprint,8.5,Fragor Prime Head,7.5,Braton Prime Stock,1.5,Akstiletto Prime Barrel,11.5,Dual Kamas Prime Handle,7.1,Nikana Prime Blueprint,6.5,6.61,7.29
Axi A10 Relic,Axi,6.5,Akbronco Prime Blueprint,2.7,Forma Blueprint,,Stradavar Prime Receiver,6.5,Wukong Prime Chassis Blueprint,11.5,Paris Prime Grip,3.05,Aksomati Prime Link,36.15,4.65,8.06
Axi A11 Relic,Axi,12.8,Zhuge Prime String,8.0,Fang Prime Blueprint,1.75,Burston Prime Receiver,3.5,Pangolin Prime Blade,8.0,Wukong Prime Systems Blueprint,15.0,Atlas Prime Neuroptics Blueprint,43.5,6.76,11.16
Axi A12 Relic,Axi,8.2,Forma Blueprint,,Mirage Prime Chassis Blueprint,10.0,Kogake Prime Boot,7.5,Helios Prime Systems,11.5,Banshee Prime Blueprint,6.5,Akbolto Prime Receiver,32.0,7.05,9.72
Axi A13 Relic,Axi,10.35,Forma Blueprint,,Burston Prime Receiver,3.5,Inaros Prime Systems Blueprint,7.0,Orthos Prime Blueprint,4.3,Pangolin Prime Blade,8.0,Aksomati Prime Link,36.15,4.74,7.83
Axi A14 Relic,Axi,10.2,Zakti Prime Receiver,5.5,Paris Prime Blueprint,2.9,Volnus Prime Blueprint,3.6,Karyst Prime Handle,4.0,Nidus Prime Blueprint,8.0,Aksomati Prime Link,36.15,5.08,8.02
Axi A15 Relic,Axi,12.6,Baza Prime Receiver,5.5,Forma Blueprint,,Sybaris Prime Stock,13.0,Oberon Prime Systems Blueprint,17.5,Ivara Prime Systems Blueprint,9.0,Aksomati Prime Link,36.15,8.32,12.0
Axi A16 Relic,Axi,11.4,Scourge Prime Blade,4.65,Braton Prime Blueprint,3.0,Fang Prime Handle,2.0,Revenant Prime Systems Blueprint,12.5,Harrow Prime Neuroptics Blueprint,8.5,Afuris Prime Receiver,45.0,5.65,10.31
Axi A17 Relic,Axi,8.0,Forma Blueprint,,Wisp Prime Systems Blueprint,7.0,Braton Prime Barrel,5.0,Orthos Prime Blueprint,4.3,Shade Prime Blueprint,5.5,Afuris Prime Receiver,45.0,5.02,8.46
Axi A18 Relic,Axi,7.7,Forma Blueprint,,Paris Prime Lower Limb,2.15,Cobra & Crane Prime Hilt,5.0,Akbronco Prime Link,3.5,Hildryn Prime Chassis Blueprint,11.0,Acceltra Prime Stock,14.5,3.7,5.54
Axi A19 Relic,Axi,8.1,Paris Prime Blueprint,2.9,Bronco Prime Receiver,3.6,Epitaph Prime Blueprint,5.5,Xaku Prime Systems Blueprint,8.0,Larkspur Prime Receiver,7.5,Acceltra Prime Stock,14.5,5.03,6.55
Axi A2 Relic,Axi,8.0,Lex Prime Receiver,3.35,Forma Blueprint,,Lex Prime Barrel,3.5,Aklex Prime Blueprint,7.25,Lex Prime Blueprint,2.6,Aklex Prime Link,40.0,3.62,7.11
Axi A20 Relic,Axi,4.9,Cedo Prime Stock,3.5,Daikyu Prime String,5.5,Velox Prime Receiver,5.0,Kompressa Prime Receiver,5.5,Lavos Prime Neuroptics Blueprint,3.0,Alternox Prime Blueprint,8.5,4.65,4.88
